"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Motovehículos",2023,7,"Catamarca","K",178,"10"
"Motovehículos",2023,7,"Chaco","H",702,"22"
"Motovehículos",2023,7,"Chubut","U",201,"26"
"Motovehículos",2023,7,"Ciudad Autónoma de Bs.As.","C",1702,"02"
"Motovehículos",2023,7,"Córdoba","X",5266,"14"
"Motovehículos",2023,7,"Corrientes","W",803,"18"
"Motovehículos",2023,7,"Entre Ríos","E",2041,"30"
"Motovehículos",2023,7,"Formosa","P",188,"34"
"Motovehículos",2023,7,"Jujuy","Y",189,"38"
"Motovehículos",2023,7,"La Pampa","L",533,"42"
"Motovehículos",2023,7,"La Rioja","F",224,"46"
"Motovehículos",2023,7,"Mendoza","M",1511,"50"
"Motovehículos",2023,7,"Misiones","N",656,"54"
"Motovehículos",2023,7,"Neuquén","Q",448,"58"
"Motovehículos",2023,7,"Río Negro","R",460,"62"
"Motovehículos",2023,7,"Salta","A",338,"66"
"Motovehículos",2023,7,"San Juan","J",458,"70"
"Motovehículos",2023,7,"San Luis","D",512,"74"
"Motovehículos",2023,7,"Santa Cruz","Z",59,"78"
"Motovehículos",2023,7,"Santa Fe","S",5110,"82"
"Motovehículos",2023,7,"Santiago del Estero","G",355,"86"
"Motovehículos",2023,7,"Tierra del Fuego","V",57,"94"
"Motovehículos",2023,7,"Tucumán","T",736,"90"
"Motovehículos",2023,8,"Buenos Aires","B",15848,"06"
"Motovehículos",2023,8,"Catamarca","K",185,"10"
"Motovehículos",2023,8,"Chaco","H",743,"22"
"Motovehículos",2023,8,"Chubut","U",227,"26"
"Motovehículos",2023,8,"Ciudad Autónoma de Bs.As.","C",1702,"02"
"Motovehículos",2023,8,"Córdoba","X",5921,"14"
"Motovehículos",2023,8,"Corrientes","W",865,"18"
"Motovehículos",2023,8,"Entre Ríos","E",2372,"30"
"Motovehículos",2023,8,"Formosa","P",209,"34"
"Motovehículos",2023,8,"Jujuy","Y",168,"38"
"Motovehículos",2023,8,"La Pampa","L",668,"42"
"Motovehículos",2023,8,"La Rioja","F",295,"46"
"Motovehículos",2023,8,"Mendoza","M",1773,"50"
"Motovehículos",2023,8,"Misiones","N",723,"54"
"Motovehículos",2023,8,"Neuquén","Q",483,"58"
"Motovehículos",2023,8,"Río Negro","R",467,"62"
"Motovehículos",2023,8,"Salta","A",355,"66"
"Motovehículos",2023,8,"San Juan","J",519,"70"
"Motovehículos",2023,8,"San Luis","D",577,"74"
"Motovehículos",2023,8,"Santa Cruz","Z",60,"78"
"Motovehículos",2023,8,"Santa Fe","S",5564,"82"
"Motovehículos",2023,8,"Santiago del Estero","G",439,"86"
"Motovehículos",2023,8,"Tierra del Fuego","V",58,"94"
"Motovehículos",2023,8,"Tucumán","T",838,"90"
"Motovehículos",2023,9,"Buenos Aires","B",15575,"06"
"Motovehículos",2023,9,"Catamarca","K",224,"10"
"Motovehículos",2023,9,"Chaco","H",644,"22"
"Motovehículos",2023,9,"Chubut","U",214,"26"
"Motovehículos",2023,9,"Ciudad Autónoma de Bs.As.","C",1702,"02"
"Motovehículos",2023,9,"Córdoba","X",5799,"14"
"Motovehículos",2023,9,"Corrientes","W",809,"18"
"Motovehículos",2023,9,"Entre Ríos","E",2064,"30"
"Motovehículos",2023,9,"Formosa","P",194,"34"
"Motovehículos",2023,9,"Jujuy","Y",172,"38"
"Motovehículos",2023,9,"La Pampa","L",625,"42"
"Motovehículos",2023,9,"La Rioja","F",295,"46"
"Motovehículos",2023,9,"Mendoza","M",1604,"50"
"Motovehículos",2023,9,"Misiones","N",659,"54"
"Motovehículos",2023,9,"Neuquén","Q",455,"58"
"Motovehículos",2023,9,"Río Negro","R",478,"62"
