"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Maquinarias",2015,1,"Corrientes","W",2,"18"
"Maquinarias",2015,1,"Entre Ríos","E",27,"30"
"Maquinarias",2015,1,"Formosa","P",0,"34"
"Maquinarias",2015,1,"Jujuy","Y",2,"38"
"Maquinarias",2015,1,"La Pampa","L",9,"42"
"Maquinarias",2015,1,"La Rioja","F",1,"46"
"Maquinarias",2015,1,"Mendoza","M",13,"50"
"Maquinarias",2015,1,"Misiones","N",2,"54"
"Maquinarias",2015,1,"Neuquén","Q",2,"58"
"Maquinarias",2015,1,"Río Negro","R",2,"62"
"Maquinarias",2015,1,"Salta","A",4,"66"
"Maquinarias",2015,1,"San Juan","J",0,"70"
"Maquinarias",2015,1,"San Luis","D",4,"74"
"Maquinarias",2015,1,"Santa Cruz","Z",3,"78"
"Maquinarias",2015,1,"Santa Fe","S",64,"82"
"Maquinarias",2015,1,"Santiago del Estero","G",3,"86"
"Maquinarias",2015,1,"Tierra del Fuego","V",0,"94"
"Maquinarias",2015,1,"Tucumán","T",0,"90"
"Maquinarias",2015,2,"Buenos Aires","B",50,"06"
"Maquinarias",2015,2,"Catamarca","K",0,"10"
"Maquinarias",2015,2,"Chaco","H",4,"22"
"Maquinarias",2015,2,"Chubut","U",2,"26"
"Maquinarias",2015,2,"Ciudad Autónoma de Bs.As.","C",148,"02"
"Maquinarias",2015,2,"Córdoba","X",96,"14"
"Maquinarias",2015,2,"Corrientes","W",4,"18"
"Maquinarias",2015,2,"Entre Ríos","E",13,"30"
"Maquinarias",2015,2,"Formosa","P",1,"34"
"Maquinarias",2015,2,"Jujuy","Y",2,"38"
"Maquinarias",2015,2,"La Pampa","L",5,"42"
"Maquinarias",2015,2,"La Rioja","F",0,"46"
"Maquinarias",2015,2,"Mendoza","M",12,"50"
"Maquinarias",2015,2,"Misiones","N",0,"54"
"Maquinarias",2015,2,"Neuquén","Q",5,"58"
"Maquinarias",2015,2,"Río Negro","R",1,"62"
"Maquinarias",2015,2,"Salta","A",3,"66"
"Maquinarias",2015,2,"San Juan","J",0,"70"
"Maquinarias",2015,2,"San Luis","D",0,"74"
"Maquinarias",2015,2,"Santa Cruz","Z",1,"78"
"Maquinarias",2015,2,"Santa Fe","S",76,"82"
"Maquinarias",2015,2,"Santiago del Estero","G",0,"86"
"Maquinarias",2015,2,"Tierra del Fuego","V",1,"94"
"Maquinarias",2015,2,"Tucumán","T",1,"90"
"Maquinarias",2015,3,"Buenos Aires","B",90,"06"
"Maquinarias",2015,3,"Catamarca","K",0,"10"
"Maquinarias",2015,3,"Chaco","H",2,"22"
"Maquinarias",2015,3,"Chubut","U",0,"26"
"Maquinarias",2015,3,"Ciudad Autónoma de Bs.As.","C",235,"02"
"Maquinarias",2015,3,"Córdoba","X",113,"14"
"Maquinarias",2015,3,"Corrientes","W",3,"18"
"Maquinarias",2015,3,"Entre Ríos","E",20,"30"
"Maquinarias",2015,3,"Formosa","P",0,"34"
